Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code
CB1 0AQ,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-10-01,2018-05-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AS,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-10-01,2018-05-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AT,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-11-01,2018-05-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AU,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-01-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AW,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2005-08-01,2013-07-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0AX,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-12-01,2018-07-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AY,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-12-01,2018-07-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0AZ,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-12-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BA,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-01-01,2018-07-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BB,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-01-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BD,No,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2005-10-01,2018-09-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BE,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-01-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BF,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-01-01,2019-02-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BG,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-02-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BH,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-02-01,2018-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BJ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2005-10-01,2008-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BL,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-01-01,2008-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BN,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2005-11-01,2010-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BP,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2005-11-01,2009-01-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BQ,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-02-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BR,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-03-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BS,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-04-01,2018-06-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BT,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2005-12-01,2013-01-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BU,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-01-01,2009-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BW,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-01-01,2012-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BX,Yes,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2013-01-01,,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0BY,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-01-01,2007-01-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0BZ,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-04-01,2018-11-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0DA,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-01-01,2011-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DB,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-01-01,2008-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DD,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-04-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0DE,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-01-01,2009-02-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DF,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-02-01,2008-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DG,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-04-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0DH,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-02-01,2008-03-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DJ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-02-01,2014-03-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DL,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-05-01,2009-03-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DN,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-05-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0DP,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-05-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0DQ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-03-01,2009-04-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DR,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-05-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0DS,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2009-06-01,2010-05-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DT,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-03-01,2012-04-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DU,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-04-01,2009-05-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DW,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-06-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0DX,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-04-01,2011-05-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DY,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2009-08-01,2011-06-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0DZ,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-06-01,2019-01-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EA,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-06-01,2019-01-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EB,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-05-01,2008-06-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0ED,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-06-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EE,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-07-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EF,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-07-01,2008-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0EG,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-08-01,2010-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0EH,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-07-01,2008-06-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0EJ,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-07-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EL,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-09-01,2011-06-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0EN,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-09-01,2010-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0EP,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-07-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EQ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-09-01,2008-10-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0ER,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-09-01,2010-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0ES,No,52.191807,0.13707,546176,256993,TL461569,"Coleridge","Cambridge, unparished area",2007-03-01,2015-03-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0ET,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-07-01,2018-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EU,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-09-01,2008-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0EW,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-07-01,2019-03-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EX,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-07-01,2008-06-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0EY,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-08-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0EZ,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-08-01,2019-03-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FA,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2006-11-01,2010-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FB,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2009-07-01,2009-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FD,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-08-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FE,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-08-01,2019-03-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FF,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-09-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FG,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-09-01,2019-04-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FH,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-01-01,2011-01-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FJ,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-09-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FL,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-07-01,2010-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FN,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-01-01,2013-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FP,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-09-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FQ,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-10-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FR,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-10-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FS,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-02-01,2011-06-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FT,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-02-01,2009-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FU,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-11-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FW,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2010-12-01,2011-11-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0FX,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-11-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FY,Yes,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2007-03-01,,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0FZ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-03-01,2011-05-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GA,No,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2006-09-01,2016-05-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GB,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-01-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GD,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2018-12-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GE,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-04-01,2010-05-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GF,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-01-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GG,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-04-01,2008-05-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GH,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-05-01,2009-06-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GJ,Yes,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2007-07-01,,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GL,No,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2007-07-01,2018-07-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GN,No,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2006-09-01,2018-01-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GP,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-07-01,2010-08-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GQ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-07-01,2009-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GR,No,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2007-07-01,2017-04-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GS,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-01-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GT,Yes,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2007-08-01,,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GU,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-08-01,2010-09-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GW,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-08-01,2011-09-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0GX,No,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2007-09-01,2018-09-01,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GY,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-01-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0GZ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-09-01,2010-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HA,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-10-01,2009-11-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HB,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-05-01,2018-07-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HD,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-05-01,2018-06-01,19,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HE,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-03-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HF,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-07-01,2018-07-01,19,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HG,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-05-01,2010-12-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HH,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-03-01,,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HJ,No,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-07-01,2018-08-01,19,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HL,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2007-11-01,2008-08-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HN,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-07-01,,19,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HP,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-01-01,2013-01-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HQ,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2017-07-01,,19,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HR,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-04-01,2009-04-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HS,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-06-01,2009-08-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HT,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-06-01,2010-08-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HU,Yes,52.192254,0.137179,546182,257043,TL461570,"Coleridge","Cambridge, unparished area",2008-06-01,,17,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0HW,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-06-01,2014-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HX,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-06-01,2010-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HY,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-07-01,2010-08-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0HZ,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-07-01,2010-12-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0JA,Yes,52.192267,0.137208,546184,257045,TL461570,"Coleridge","Cambridge, unparished area",2019-04-01,,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017966
CB1 0JB,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-01-01,2012-02-01,10,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
CB1 0JD,No,52.209345,0.148231,546881,258966,TL468589,"Abbey","Cambridge, unparished area",2008-08-01,2010-08-01,11,England,2019-05-29,"Within the building of the matched address closest to the postcode mean",E01017943
